Model,MAE,MAE_std,RMSE,RMSE_std
LBT,5.38,2.1,6.62,2.52
Linear bagging,5.21,1.93,6.39,2.34
Linear gradient boosting,5.21,2.52,6.19,2.99
DT,4.84,2.12,6.07,2.95
DT bagging,4.74,1.63,6.07,2.57
DT gradient boosting,4.67,1.61,5.92,2.45
