,train_mae,train_mae_var,train_rmse,train_rmse_var,test_mae,test_mae_var,test_rmse,test_rmse_var,imp_Days_mean,imp_Days_std,imp_GDP_mean,imp_GDP_std,imp_approval_mean,imp_approval_std
lr,3.8183,0.48572431481242523,4.7487,0.6735408747804397,5.3843000000000005,2.096287792742208,6.6217,2.519260230702656,0.412,0.229,0.041,0.032,0.599,0.443
dt,2.1092,0.6341698195278611,2.7710000000000004,0.7625922894968188,4.837000000000001,2.121999293119581,6.0692,2.9497863244648754,0.432,0.513,0.0,0.0,0.0,0.0
bag_lr,3.8011,0.4701869734477977,4.797899999999999,0.6658202385028559,5.2143,1.9316300137448683,6.3875,2.340867520813598,0.465,0.261,0.018,0.014,0.541,0.411
bag_dt,2.2747,0.31496175958360406,3.1793999999999993,0.5865403992906201,4.736800000000001,1.6252488301795514,6.070000000000001,2.5716068906425025,0.331,0.27,0.029,0.02,0.421,0.318
gradient_boost,1.5740000000000003,0.519014450665875,4.4449000000000005,1.6041867067146516,4.6696,1.6095924453103025,5.9187,2.4505038889991586,0.201,0.34,0.007,0.007,0.282,0.428
