,train_mae,train_rmse,test_mae,test_rmse,
lr,3.8183,4.7487,5.3843000000000005,6.6217,
dt,2.1092,2.7710000000000004,4.837000000000001,6.0692,
rf,3.0351999999999997,4.580000000000001,4.7502,6.001799999999999,
bag_lr,3.8011,4.797899999999999,5.2143,6.3875,
bag_dt,2.2747,3.1793999999999993,4.736800000000001,6.070000000000001,
adaboost_lr,3.5979,4.430999999999999,6.1162,7.331299999999999,
gradient_lr,3.86,4.82,5.21,6.19,
adaboost_dt,1.2789000000000001,2.2457000000000003,5.472499999999999,7.389100000000001,
gradient_boost,1.5740000000000003,4.4449000000000005,4.6696,5.9187,
