,train_mae,train_mae_std,train_rmse,train_rmse_std,test_mae,test_mae_std,test_rmse,test_rmse_std,imp_Days_mean,imp_Days_std,imp_GDP_mean,imp_GDP_std,imp_approval_mean,imp_approval_std
lr,3.2132999999999994,0.33802974721169143,3.802,0.3360446398917858,4.5584,1.4729200385628543,5.3326,1.564376310227178,0.049,0.113,0.282,0.23,0.383,0.254
gradient_boost,0.5291,0.21163220454363746,1.1274,0.43280392789345157,4.0833,1.4514524139633376,4.7909999999999995,1.5584835578215126,0.88,0.616,0.558,0.38,0.182,0.157
