,train_mae,train_mae_std,train_rmse,train_rmse_std,test_mae,test_mae_std,test_rmse,test_rmse_std
lr,3.8183,0.4857243148124252,4.7487,0.6735408747804397,5.3843000000000005,2.096287792742208,6.6217,2.519260230702656
dt,2.1092,0.6341698195278611,2.7710000000000004,0.7625922894968188,4.837000000000001,2.121999293119581,6.0692,2.9497863244648754
bag_lr,3.8011,0.4701869734477977,4.797899999999999,0.6658202385028559,5.2143,1.9316300137448683,6.3875,2.340867520813598
bag_dt,2.2747,0.314961759583604,3.1794,0.5865403992906201,4.736800000000001,1.6252488301795514,6.070000000000001,2.5716068906425025
gradient_boost,1.5740000000000005,0.519014450665875,4.4449000000000005,1.6041867067146516,4.6696,1.6095924453103023,5.9187,2.4505038889991586
gradient_lr,3.8607736938633694,0.4086702569543374,4.828120854142995,0.5666521345832194,5.213946870759512,2.5227551853273007,6.191287782934888,2.991754778484308
