,train_mae,train_mae_std,train_rmse,train_rmse_std,test_mae,test_mae_std,test_rmse,test_rmse_std,imp_Days_mean,imp_Days_std,imp_GDP_mean,imp_GDP_std,imp_approval_mean,imp_approval_std
lr,2.9836,0.4802406063631022,3.6842,0.5793326850782717,4.7781,1.6015371959464446,5.797600000000001,1.916710786738573,0.073,0.092,0.367,0.254,0.397,0.232
gradient_boost,1.7801999999999998,0.586049451838324,4.7619,1.628364022569892,4.4135,2.2480860192617187,5.808899999999999,3.2499941215331445,1.169,0.546,1.721,0.977,0.003,0.065
